DEPARTMENT,WORK GROUP
Aviation,Aviation--
City Managers Office,City Managers Office-311 Call Center-
City Managers Office,City Managers Office-311 Call Center-Administratio
City Managers Office,City Managers Office-311 Call Center-Support
City Managers Office,City Managers Office-311-Field Staff
City Managers Office,City Managers Office-Administration-
City Managers Office,City Managers Office-CIMO-
City Managers Office,City Managers Office-Capital Projects-
City Managers Office,City Managers Office-Compass KC-
City Managers Office,City Managers Office-Emergency Management-
City Managers Office,City Managers Office-KCPD-
City Planning and Development,City Planning and Development-Administration
City Planning and Development,City Planning and Development-Adminstration-
City Planning and Development,City Planning and Development-Dev Comp-Zoning
City Planning and Development,City Planning and Development-Elevators-
City Planning and Development,City Planning and Development-Land Develop-Inspect
City Planning and Development,City Planning and Development-Permit Compliance-
Convention and Entertainment Center,Convention and Entertainment Center--
Finance,Finance--
Finance,Finance-PIAC-
Fire,Fire--
General Service,General Service-City Property-
General Service,General Service-Facility Management-
Health,Health--
Health,Health-Air Quality-
Health,Health-Communicable Disease Control-
Health,Health-Community Environmental Health-
Health,Health-Food Protection-
Health,Health-Healthy Homes-
Health,Health-Healthy Homes-Bedbugs
Health,Health-Lead Poisoning Prevention-
Health,Health-Noise Control-
Health,Health-Rat-
Health,Health-Tobacco Control-
Housing Community Dev,Housing Community Dev-Property Preservation
Human Resources,Human Resources--
IT,IT-testing emails-
Information Technology,Information Technology--
Information Technology,Information Technology-ERP Testing-DML
Information Technology,Information Technology-Email issue-
KCPD,KCPD-Parking Control-
Mayors Office,Mayors Office--
Municipal Court,Municipal Court-Accommodations
Municipal Court,Municipal Court-Customer Service-
NCS,NCS-Animal Health and Safety-Jackson County
NCS,NCS-Neighborhood Preservation-LT List
NHS,NHS-Administration-
NHS,NHS-Animal Health and Safety-
NHS,NHS-Animal Health and Safety-Admin
NHS,NHS-Dangerous Buildings-
NHS,NHS-Dangerous Buildings-Emergency
NHS,NHS-HazardousStructure
NHS,NHS-NCAP-
NHS,NHS-NPD-Assessments
NHS,NHS-Neighborhood Preservation-
NHS,NHS-Neighborhood Preservation-Abatement
NHS,NHS-Neighborhood Preservation-Administration
NHS,NHS-Neighborhood Preservation-DART
NHS,NHS-Neighborhood Preservation-Illegal Dumping
NHS,NHS-Neighborhood Preservation-Open Entry
NHS,NHS-Neighborhood Preservation-Priority
NHS,NHS-Neighborhood Preservation-Programs
NHS,NHS-Neighborhood Referrals-Supervisors
NHS,NHS-Neighborhood Services
NHS,NHS-Neighborhood-Abatement
NHS,NHS-Property Preservation-
NHS,NHS-Regulated Industries-
NHS,NHS-Salvage-
NHS,NHS-Solid Waste-
NHS,NHS-Solid Waste-Abatement Referral
NHS,NHS-Solid Waste-Administration
NHS,NHS-Solid Waste-Illegal Dumping
NHS,NHS-Tow Services-
NHS,NHS-Tow-Administration
Northeast,Northeast-Alliance-Together
Northland,Northland-Neighborhood-Inc
Parks & Rec,Parks & Rec-Brush Creek-Maintenance
Parks & Rec,Parks & Rec-Landscape Services-BRWF
Parks & Rec,Parks & Rec-Landscape Services-Forestry
Parks & Rec,Parks & Rec-Landscape Services-LT List
Parks & Rec,Parks & Rec-Landscape Services-ROWWeeds
Parks & Rec,Parks & Rec-Landscape Services-Visability
Parks & Rec,Parks & Rec-Planning and Design
Parks & Recreation,Parks & Recreation-Landscape Services-BRWF
Parks and Rec,Parks and Rec-Administration-
Parks and Rec,Parks and Rec-Central Region-
Parks and Rec,Parks and Rec-Community Services-
Parks and Rec,Parks and Rec-Facility Maintenance-
Parks and Rec,Parks and Rec-Landscape Services-Forestry
Parks and Rec,Parks and Rec-Landscape Services-Forestry Tech
Parks and Rec,Parks and Rec-Landscape Services-Landscaping
Parks and Rec,Parks and Rec-Landscape Services-Weeds
Parks and Rec,Parks and Rec-North Region-
Parks and Rec,Parks and Rec-Planning and Design
Parks and Rec,Parks and Rec-South Region-
Public Works,Public Works- Sidewalks- GO Bonds
Public Works,Public Works-Administration-
Public Works,Public Works-Capital Projects-
Public Works,Public Works-Capital Projects-Preservation
Public Works,Public Works-Capital Projects-Sidewalks
Public Works,Public Works-Capital Projects-Signs
Public Works,Public Works-Capital Projects-Traffic Control
Public Works,Public Works-Capital Projects-Traffic Permits
Public Works,Public Works-Capital Projects-Traffic Signals
Public Works,Public Works-Coordination Service-Bicycle
Public Works,Public Works-Facilities Maintenance-
Public Works,Public Works-Parking Division-
Public Works,Public Works-Snow and Ice-Administration
Public Works,Public Works-Solid Waste-
Public Works,Public Works-Street and Traffic-Administration
Public Works,Public Works-Street and Traffic-District 1
Public Works,Public Works-Street and Traffic-District 2
Public Works,Public Works-Street and Traffic-District 3
Public Works,Public Works-Street and Traffic-Project Planning
Public Works,Public Works-Street and Traffic-Rural Mowing
Public Works,Public Works-Street and Traffic-Snow
Public Works,Public Works-Street and Traffic-Street Operations
Public Works,Public Works-Street and Traffic-Streetlights
Public Works,Public Works-Street and Traffic-Streetlights Staff
Public Works,Public Works-Streets and Traffic-Administration
Public Works,Public Works-Streets and Traffic-Project Planning
South,South-KansasCity-Alliance
Water Services,Water Services - Wastewater Investigations
Water Services,Water Services-Administration-
Water Services,Water Services-Automatic Meter Reading-VSI
Water Services,Water Services-Consumer Services-Back Office Suppo
Water Services,Water Services-Engineering-Stormwater
Water Services,Water Services-Engineering-Water and Sewer
Water Services,Water Services-Facility-Engineering
Water Services,Water Services-Industrial Waste Control-
Water Services,Water Services-Laboratory Services-
Water Services,Water Services-Leaf Brush
Water Services,Water Services-Line Maintenance-Ice Abatement
Water Services,Water Services-Line Maintenance-Leaf Brush
Water Services,Water Services-Line Maintenance-Pipeline
Water Services,Water Services-Line Maintenance-Restoration
Water Services,Water Services-Line Maintenance-Stormwater
Water Services,Water Services-Line Maintenance-Wastewater
Water Services,Water Services-Meter & Field Services-Supervisors
Water Services,Water Services-Meter and Field Services-
Water Services,Water Services-Reading-
Water Services,Water Services-Stormwater Investigations
Water Services,Water Services-Wastewater Investigations
